Lors de la phase finale de ce projet, nous avons ressenti le besoin d'organiser plus systématiquement nos tests. Chaque ligne de ce fichier a été ajoutée automatiquement à la compilation et donne les paramètres associés à l'image résultat.

resultats/PMBgattodefi29031430.gif : nu=0.1, lambda=0, T=1, N=300, ce qui donne CFL=2.2853333333333334
resultats/PMBgattodefi29031431.gif : nu=0.1, lambda=0, T=1, N=300, ce qui donne CFL=2.2853333333333334
resultats/PMBlax29031448.gif : nu=0.01, lambda=0.1, T=1, N=300, ce qui donne CFL=6.490466666666667
resultats/PMBlax29031451.gif : nu=0.01, lambda=0.0001, T=1, N=300, ce qui donne CFL=6.490466666666667
resultats/PMBlax29031452.gif : nu=0.001, lambda=0.0001, T=1, N=300, ce qui donne CFL=0.6490466666666667
resultats/PMBlax29031454.gif : nu=0.0005, lambda=0, T=1, N=300, ce qui donne CFL=0.32452333333333333
resultats/PMBlax29031456.gif : nu=0.0005, lambda=0.0001, T=1, N=300, ce qui donne CFL=0.32452333333333333
resultats/PMBlax29031525.gif : nu=0.0005, lambda=1e-06, T=1, N=300, ce qui donne CFL=0.32452333333333333
resultats/PMBlax29031526.gif : nu=0.0009, lambda=1e-06, T=1, N=300, ce qui donne CFL=0.5841419999999999 raccourci, pas mal à faire en long
resultats/PMBlax29031532.gif : nu=0.0009, lambda=1e-06, T=1, N=300, ce qui donne CFL=0.5841419999999999
resultats/PMBlax29031539.gif : nu=0.0009, lambda=2e-06, T=1, N=300, ce qui donne CFL=0.5841419999999999
resultats/PMBlax29031545.gif : nu=0.01, lambda=1e-06, T=1, N=300, ce qui donne CFL=6.490466666666667
resultats/PMBlax29031608.gif : nu=0.01, lambda=1e-07, T=1, N=300, ce qui donne CFL=6.490466666666667
resultats/PMBlax29031611.gif : nu=0.01, lambda=1e-07, T=1, N=300, ce qui donne CFL=6.490466666666667
resultats/PMBlax29031612.gif : nu=0.02, lambda=1e-06, T=1, N=300, ce qui donne CFL=12.980933333333335
resultats/PMBlax29031612.gif : nu=0.005, lambda=1e-07, T=1, N=300, ce qui donne CFL=3.2452333333333336
resultats/PMBlax29031613.gif : nu=0.001, lambda=1e-07, T=1, N=300, ce qui donne CFL=0.6490466666666667
resultats/PMBlax29031614.gif : nu=0.001, lambda=1e-08, T=1, N=300, ce qui donne CFL=0.6490466666666667
resultats/PMBlax29031615.gif : nu=0.001, lambda=2e-08, T=1, N=300, ce qui donne CFL=0.6490466666666667
resultats/PMBlax29031616.gif : nu=0.001, lambda=3.3333333333333334e-08, T=1, N=300, ce qui donne CFL=0.6490466666666667
resultats/PMBlax29031618.gif : nu=0.005, lambda=3.3333333333333334e-08, T=1, N=300, ce qui donne CFL=3.2452333333333336
resultats/PMBlax29031618.gif : nu=0.002, lambda=3.3333333333333334e-08, T=1, N=300, ce qui donne CFL=1.2980933333333333
resultats/PMBlax29031624.gif : nu=0.002, lambda=3e-08, T=1, N=300, ce qui donne CFL=1.2980933333333333
resultats/PMBlax29031632.gif : nu=0.002, lambda=3e-08, T=1, N=300, ce qui donne CFL=1.2980933333333333
resultats/PMBlax29031635.gif : nu=0.0022, lambda=3e-08, T=1, N=300, ce qui donne CFL=1.4279026666666668
